poblacion,fecha,hora,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud
,2006-12-11,10:48:26,Amarillo,BI-636,9,9,BILBAO,-2.993629,43.24061
Berango,2006-12-11,09:08:03,Blanco,BI-637,15,15,KURTXES(BERANGO),-2.99255,43.34514
Bilbao,2006-12-11,00:22:54,Blanco,A-8,136,136,IRUN,-3.11643,43.33947
,2006-12-10,21:35:53,Blanco,N-634,103,103,DONOSTIA/SAN SEBASTIN,-2.861065,43.23255
Bilbao,2006-12-07,22:20:14,Blanco,A-8,113,113,IRUN,-2.90804,43.23352
Arrigorriaga,2006-12-06,22:23:25,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378
,2006-12-06,18:24:30,Blanco,AP-68,16,16,BILBAO,-2.916313,43.12145
Bilbao,2006-12-05,23:11:39,Blanco,A-8,113,113,IRUN,-2.90804,43.23352
Bilbao,2006-12-04,21:13:51,Blanco,A-8,111,113,IRUN,-2.88343,43.2309
Bilbao,2006-12-04,21:13:51,Amarillo,A-8,111,113,IRUN,-2.88343,43.2309
Sondika,2006-12-04,09:16:09,Blanco,N-637,12,12,ERLETXE ( por PTE. RONTEGI),-2.95528,43.29934
,2006-12-04,09:16:09,Blanco,N-637,12,12,ERLETXE ( por PTE. RONTEGI),-2.95528,43.29934
Basauri,2006-12-03,22:22:01,Blanco,A-8,113,113,IRUN,-2.90804,43.23352
Galdakao,2006-12-02,22:10:55,Amarillo,N-634,97,97,DONOSTIA/SAN SEBASTIN,-2.79589,43.23359
Galdakao,2006-12-02,22:10:55,Amarillo,N-634,97,97,DONOSTIA/SAN SEBASTIN,-2.79589,43.23359
,2006-12-01,22:33:02,Negro,N-634,96,96,DONOSTIA/SAN SEBASTIN,-2.78402,43.23083
Alonsotegi,2006-12-01,11:28:46,Blanco,BI-636,11,11,BILBAO,-3.01027,43.23294
Alonsotegi,2006-12-01,11:00:38,Blanco,BI-636,9,9,BILBAO,-2.993629,43.24061
Barakaldo,2006-12-01,09:41:55,Blanco,N-637,10,10,ERLETXE ( por PTE. RONTEGI),-2.97405,43.29526
Alonsotegi,2006-12-01,09:02:22,Blanco,BI-636,6,6,BILBAO,-2.96896,43.25747
Getxo,2006-11-30,23:08:38,Blanco,BI-637,13,11,KURTXES(BERANGO),-2.99622,43.33024
Getxo,2006-11-30,23:08:38,Blanco,BI-637,13,11,KUKULARRA,-2.99625,43.33018
Getxo,2006-11-30,23:08:38,Blanco,BI-637,13,11,KUKULARRA,-2.99625,43.33018
Getxo,2006-11-30,23:08:38,Blanco,BI-637,13,13,KUKULARRA,-2.99625,43.33018
Basauri,2006-11-30,21:11:44,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378
Basauri,2006-11-30,21:11:44,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378
Gees,2006-11-30,15:29:41,Blanco,BI-636,6,6,BILBAO,-2.96896,43.25747
Barakaldo,2006-11-30,09:10:12,Blanco,N-637,12,12,ERLETXE ( por PTE. RONTEGI),-2.95528,43.29934
Basauri,2006-11-29,21:18:03,Blanco,A-8,113,111,IRUN,-2.90804,43.23352
,2006-11-29,21:27:44,Blanco,N-644,131,131,Bilbao,-3.047636,43.33763
Arrigorriaga,2006-11-29,10:44:40,Blanco,AP-68,15,15,ZARAGOZA,-2.923842,43.1286
Lezama,2006-11-28,23:34:29,Blanco,N-637,24,24,ERLETXE ( por PTE. RONTEGI),-2.82722,43.2641
Muskiz,2006-11-29,00:23:02,Blanco,A-8,136,136,IRUN,-3.11643,43.33947
Bilbao,2006-11-29,00:16:08,Amarillo,A-8,115,115,IRUN,-2.92753,43.24161
,2006-11-28,23:34:29,Blanco,N-637,15,15,ERLETXE ( por PTE. RONTEGI),-2.92609,43.28585
Bilbao,2006-11-28,23:23:37,Blanco,A-8,117,118,CANTABRIA,-2.94514,43.25163
Muskiz,2006-11-28,22:59:03,Blanco,A-8,136,136,CANTABRIA,-3.11618,43.33962
Basauri,2006-11-28,21:12:07,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378
Arrankudiaga,2006-11-28,14:09:12,Blanco,AP-68,13,13,ZARAGOZA,-2.93714,43.14311
Arrankudiaga,2006-11-28,14:09:12,Blanco,AP-68,13,13,ZARAGOZA,-2.93714,43.14311
,2006-11-28,08:18:17,Blanco,AP-68,8,8,ZARAGOZA,-2.904608,43.17588
Muskiz,2006-11-28,10:44:58,Blanco,A-8,137,137,IRUN,-3.12723,43.3419
Bilbao,2006-11-28,09:53:32,Amarillo,A-8,117,117,IRUN,-2.94541,43.25161
Alonsotegi,2006-11-28,09:26:37,Blanco,BI-636,9,9,BILBAO,-2.993629,43.24061
Arrigorriaga,2006-11-28,08:18:17,Blanco,AP-68,6,6,ZARAGOZA,-2.89627,43.19152
Galdakao,2006-11-27,22:53:49,Blanco,N-634,97,97,DONOSTIA/SAN SEBASTIN,-2.79589,43.23359
Valle de Trpaga-Trapagaran,2006-11-27,23:24:16,Amarillo,A-8,125,127,CANTABRIA,-3.01544,43.29313
Galdakao,2006-11-27,22:53:49,Blanco,N-634,97,97,DONOSTIA/SAN SEBASTIN,-2.79589,43.23359
Basauri,2006-11-27,21:08:12,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378
,2006-11-27,13:59:25,Blanco,BI-2521,42,42,ORDUA,-2.98254,42.9926
Alonsotegi,2006-11-27,11:05:11,Blanco,BI-636,10,10,BILBAO,-3.004337,43.23591
Bilbao,2006-11-27,10:36:52,Blanco,AP-68,15,15,BILBAO,-2.923555,43.12848
Galdakao,2006-11-26,23:37:03,Amarillo,N-634,101,101,DONOSTIA/SAN SEBASTIN,-2.838604,43.22767
Galdakao,2006-11-26,23:36:08,Blanco,N-634,99,99,SANTANDER,-2.81734,43.23225
Basauri,2006-11-26,23:27:05,Blanco,A-8,113,111,IRUN,-2.90804,43.23352
Bilbao,2006-11-26,23:27:05,Blanco,A-8,111,111,IRUN,-2.88343,43.2309
Alonsotegi,2006-11-24,12:48:10,Negro,BI-636,9,9,BILBAO,-2.993629,43.24061
Alonsotegi,2006-11-24,12:48:10,Blanco,BI-636,9,9,BILBAO,-2.993629,43.24061
Alonsotegi,2006-11-24,12:48:10,Blanco,BI-636,9,9,BILBAO,-2.993629,43.24061
Balmaseda,2006-11-24,09:36:51,Amarillo,BI-636,9,10,CADAGUA,-2.993735,43.24075
,2006-11-24,04:04:19,Blanco,N-637,12,12,ERLETXE ( por PTE. RONTEGI),-2.95528,43.29934
Derio,2006-11-24,02:29:04,Blanco,N-637,17,17,ERLETXE ( por PTE. RONTEGI),-2.903674,43.28876
Bilbao,2006-11-23,23:03:04,Blanco,BI-604,3,3,BILBAO,-2.948006,43.27291
Bilbao,2006-11-23,21:14:51,Blanco,A-8,111,113,IRUN,-2.88343,43.2309
Bilbao,2006-11-23,21:14:51,Blanco,A-8,111,113,IRUN,-2.88343,43.2309
Arrankudiaga,2006-11-23,14:18:55,Blanco,AP-68,10,11,ZARAGOZA,-2.920465,43.1638
,2006-11-23,14:18:55,Blanco,AP-68,10,11,ZARAGOZA,-2.920465,43.1638
Orozko,2006-11-23,09:44:35,Blanco,AP-68,16,15,BILBAO,-2.916313,43.12145
Muskiz,2006-11-23,09:48:15,Blanco,A-8,138,138,CANTABRIA,-3.13918,43.34282
Orozko,2006-11-23,09:44:35,Blanco,AP-68,16,15,BILBAO,-2.916313,43.12145
Galdakao,2006-11-22,23:28:24,Blanco,N-637,15,15,CRUCES,-2.926004,43.28597
Basauri,2006-11-22,21:17:42,Amarillo,A-8,113,111,IRUN,-2.90804,43.23352
Basauri,2006-11-22,17:34:20,Amarillo,A-8,113,113,IRUN,-2.90804,43.23352
Basauri,2006-11-22,17:34:20,Amarillo,A-8,113,113,IRUN,-2.90804,43.23352
Bilbao,2006-11-22,13:39:25,Amarillo,A-8,113,114,IRUN,-2.90804,43.23352
Alonsotegi,2006-11-22,13:07:40,Blanco,BI-636,9,11,BILBAO,-2.993629,43.24061
Basauri,2006-11-21,21:35:05,Blanco,A-8,113,111,IRUN,-2.90804,43.23352
Basauri,2006-11-21,19:18:40,Blanco,A-8,112,112,IRUN,-2.89592,43.23205
Muskiz,2006-11-21,09:15:21,Blanco,A-8,134,134,IRUN,-3.09974,43.33071
,2006-11-21,09:15:21,Blanco,A-8,134,134,IRUN,-3.09974,43.33071
Basauri,2006-11-21,12:08:04,Amarillo,A-8,113,113,IRUN,-2.90804,43.23352
Basauri,2006-11-21,12:08:04,Amarillo,A-8,113,113,IRUN,-2.90804,43.23352
Basauri,2006-11-21,12:08:04,Blanco,A-8,113,113,IRUN,-2.90804,43.23352
Basauri,2006-11-21,10:43:40,Blanco,A-8,113,113,IRUN,-2.90804,43.23352
,2006-11-21,09:15:21,Blanco,A-8,134,134,IRUN,-3.09974,43.33071
Galdakao,2006-11-20,21:34:11,Blanco,N-634,103,103,DONOSTIA/SAN SEBASTIN,-2.861065,43.23255
Basauri,2006-11-20,21:20:26,Amarillo,A-8,113,111,IRUN,-2.90804,43.23352
Bilbao,2006-11-20,21:13:04,Blanco,BI-636,5,5,BILBAO,-2.97122,43.26661
Bilbao,2006-11-20,15:45:20,Amarillo,BI-636,7,7,BILBAO,-2.974041,43.25064
Basauri,2006-11-19,22:09:45,Blanco,A-8,113,113,IRUN,-2.90804,43.23352
Basauri,2006-11-19,22:09:45,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378
,2006-11-19,07:48:48,Blanco,A-8,113,113,IRUN,-2.90804,43.23352
Basauri,2006-11-19,05:10:06,Blanco,A-8,113,113,IRUN,-2.90804,43.23352
Basauri,2006-11-19,05:10:06,Blanco,A-8,113,113,IRUN,-2.90804,43.23352
Galdakao,2006-11-18,08:07:07,Blanco,N-634,103,103,SANTANDER,-2.861065,43.23255
Galdakao,2006-11-18,08:05:49,Blanco,N-634,100,100,SANTANDER,-2.828036,43.23189
,2006-11-18,07:37:12,Blanco,A-8,110,112,CANTABRIA,-2.87165,43.23132
Abanto y Cirvana-Abanto Zierbena,2006-11-17,12:33:27,Blanco,N-634,131,131,DONOSTIA/SAN SEBASTIN,-3.10905,43.3229
Gees,2006-11-17,11:38:45,Blanco,BI-636,15,15,CADAGUA,-3.042474,43.20639
Barakaldo,2006-11-17,03:42:22,Blanco,A-8,122,122,IRUN,-2.98578,43.28167
Portugalete,2006-11-17,00:37:02,Blanco,A-8,126,126,IRUN,-3.02248,43.30032
Barakaldo,2006-11-17,00:37:02,Blanco,BI-637,9,9,KURTXES(BERANGO),-2.96194,43.30914
Barakaldo,2006-11-16,22:58:11,Blanco,A-8,121,121,IRUN,-2.977874,43.27453
Leioa,2006-11-17,00:17:40,Blanco,BI-637,13,14,KUKULARRA,-2.99625,43.33018
Barakaldo,2006-11-16,22:58:11,Blanco,A-8,121,121,IRUN,-2.977874,43.27453
,2006-11-16,21:39:30,Blanco,N-644,132,132,Bilbao,-3.04274,43.34047
Bilbao,2006-11-16,21:22:57,Blanco,A-8,111,113,CANTABRIA,-2.883459,43.231
,2006-11-16,08:37:14,Blanco,AP-68,19,19,BILBAO,-2.918417,43.09539
Bilbao,2006-11-16,11:24:06,Blanco,BI-636,8,8,BILBAO,-2.982984,43.2456
,2006-11-16,08:37:14,Blanco,AP-68,18,18,BILBAO,-2.91536,43.10357
,2006-11-16,08:37:14,Blanco,AP-68,19,19,BILBAO,-2.918417,43.09539
,2006-11-16,02:27:48,Blanco,A-8,132,132,IRUN,-3.07694,43.33036
Derio,2006-11-15,23:31:18,Blanco,N-637,13,13,ERLETXE ( por PTE. RONTEGI),-2.94501,43.29437
Portugalete,2006-11-15,23:09:39,Blanco,A-8,126,126,IRUN,-3.02248,43.30032
,2006-11-15,21:31:04,Blanco,N-644,131,131,Santurtzi,-3.047644,43.3378
Galdakao,2006-11-15,21:29:33,Blanco,N-634,103,103,SANTANDER,-2.861065,43.23255
Basauri,2006-11-15,21:13:55,Blanco,A-8,112,112,CANTABRIA,-2.89581,43.23219
Bilbao,2006-11-15,12:28:28,Blanco,BI-636,8,8,BILBAO,-2.982984,43.2456
Alonsotegi,2006-11-15,09:47:32,Blanco,BI-636,8,8,BILBAO,-2.982984,43.2456
Alonsotegi,2006-11-15,09:47:32,Blanco,BI-636,8,8,BILBAO,-2.982984,43.2456
Portugalete,2006-11-14,22:56:21,Blanco,A-8,126,126,IRUN,-3.02248,43.30032
Portugalete,2006-11-14,22:56:21,Blanco,A-8,126,126,IRUN,-3.02248,43.30032
"Etxebarri, Ant S. Esteban-Etxebarri D. E.",2006-11-14,21:42:00,Blanco,N-634,104,104,SANTANDER,-2.87085,43.23714
Bilbao,2006-11-14,21:39:03,Blanco,A-8,114,114,CANTABRIA,-2.919231,43.23613
Bilbao,2006-11-14,21:14:44,Blanco,A-8,111,113,CANTABRIA,-2.883459,43.231
Gees,2006-11-14,11:57:26,Blanco,BI-636,15,15,CADAGUA,-3.042474,43.20639
Basauri,2006-11-13,21:38:40,Blanco,A-8,114,114,CANTABRIA,-2.919231,43.23613
"Etxebarri, Ant S. Esteban-Etxebarri D. E.",2006-11-13,21:34:36,Blanco,N-634,104,104,SANTANDER,-2.87085,43.23714
Bilbao,2006-11-13,21:13:01,Blanco,A-8,111,112,CANTABRIA,-2.883459,43.231
Bilbao,2006-11-13,10:52:54,Blanco,A-8,131,131,IRUN,-3.06707,43.32707
Bilbao,2006-11-13,10:52:54,Blanco,A-8,131,131,IRUN,-3.06707,43.32707
Alonsotegi,2006-11-13,10:48:55,Blanco,BI-636,10,10,CADAGUA,-3.004373,43.23614
Erandio,2006-11-12,23:48:21,Blanco,BI-604,4,5,ASUA,-2.95606,43.27935
Bilbao,2006-11-12,22:20:38,Blanco,A-8,114,114,CANTABRIA,-2.919231,43.23613
Bilbao,2006-11-12,22:19:26,Blanco,A-8,111,113,IRUN,-2.88343,43.2309
,2006-11-11,09:58:20,Blanco,N-634,101,101,DONOSTIA/SAN SEBASTIN,-2.838604,43.22767
Arrigorriaga,2006-11-10,12:44:44,Amarillo,AP-68,8,8,ZARAGOZA,-2.904608,43.17588
Arrigorriaga,2006-11-10,12:44:44,Amarillo,AP-68,8,8,ZARAGOZA,-2.904608,43.17588
Ortuella,2006-11-10,08:00:54,Amarillo,A-8,132,132,IRUN,-3.07694,43.33036
,2006-11-10,07:53:07,Blanco,AP-68,5,5,ZARAGOZA,-2.894917,43.19963
Barakaldo,2006-11-09,21:30:46,Blanco,A-8,121,121,IRUN,-2.977874,43.27453
Barakaldo,2006-11-09,21:30:46,Blanco,A-8,121,121,IRUN,-2.977874,43.27453
Bilbao,2006-11-09,21:14:10,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378
,2006-11-09,11:24:00,Blanco,N-634,108,108,DONOSTIA/SAN SEBASTIN,-2.90335,43.24939
Amorebieta-Etxano,2006-11-09,09:41:15,Amarillo,N-634,98,98,DONOSTIA/SAN SEBASTIN,-2.80671,43.23633
Ortuella,2006-11-09,07:55:57,Blanco,A-8,133,133,IRUN,-3.08903,43.3294
Bilbao,2006-11-09,03:07:49,Blanco,AP-68,0,0,BILBAO,-2.917,43.23466
Bilbao,2006-11-09,03:07:49,Blanco,AP-68,0,0,BILBAO,-2.917,43.23466
Bilbao,2006-11-08,22:33:26,Blanco,A-8,114,114,CANTABRIA,-2.919231,43.23613
,2006-11-06,08:27:02,Blanco,AP-68,16,29,ZARAGOZA,-2.916557,43.12165
,2006-11-06,08:27:02,Blanco,AP-68,11,31,ZARAGOZA,-2.929267,43.15753
Bilbao,2006-11-08,22:33:26,Blanco,A-8,114,114,CANTABRIA,-2.919231,43.23613
Bilbao,2006-11-08,21:17:08,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378
Bilbao,2006-11-08,21:17:08,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378
Ortuella,2006-11-08,14:39:44,Blanco,A-8,132,132,IRUN,-3.07694,43.33036
,2006-11-08,09:16:50,Blanco,AP-68,22,22,BILBAO,-2.92426,43.07066
,2006-11-08,07:53:19,Blanco,A-8,132,132,IRUN,-3.07694,43.33036
Basauri,2006-11-07,21:18:32,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378
